subject,content
EnronOnline Quotes on TRUEQUOTE,Begining 6/4/01 most North American Gas and Power quotes will be displayed on and transactable from the TRUEQUOTE trading platform. Please call me if you have any questions or need more information. Thanks. Savita X31787
CP Name Change,Please note counterparty name change: Old Name: Endesa Trading SA New Name: Endesa Trading SA Sociedad Unipersonal CPID: 84580 Joe
Tired of slow connections?,ARE YOU TIRED OF SLOW INTERNET CONNECTIONS? WANT BLISTERING FAST WEB SPEED? TO SPEED UP YOUR DOWNLOADS CLICK HERE NOW! GUARANTEED TO BOOST YOUR INTERNET SPEED BY UP TO 220%. CLICK HERE TO LEARN MORE!
Free Software Gift!,[IMAGE] FREE SOFTWARE GIFT! Click Here: Don't forget your free software gift! Great for holiday gift giving! Many popular titles to choose from. Hurry! This offer is only good While supplies last! Click Here: Let someone know how much you care! Send a Free PassionUp Greeting
Get Your FREE Digital Cell Phone!,[IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE] [IMAGE]
First Friends,We paired up Julie Silvera with Pam Odell. Any new members recently? Jill
FW: Field Services Office,This email and any files transmitted with it from the ElPaso Corporation are confidential and intended solely for the use of the individual or entity to whom they are addressed. If you have received this email in error please notify the sender.
July 4th Pictures,Farmers/Wylies: You'll probably want to pick up at the following link: Chappells: You'll probably want to pick up at this link: Family: You'll probably want to start from the beginning:
Re: Boat,I believe the boat is 18 to 19 ft long and I do have a boat cover. I will bring the boat information with me tomorrow for anymore questions. I recently took it to the shop to get it ready for this season and the salesman said it looked brand new. It has a brand new battery and everything runs perfectly. Call me if you want to take a look at it. Briant 66459
CP&L data,act_flow is from our system. CP&L flow is from CP&L. All volumes are in MMcf.
Entex - May,I would assume 40000 for Midcon.
Calpine May,Total Nom Apr 81 Mar 79 Feb 85 Average of 3: 82 Does this average represent a good estimate of the Calpine May nom? Ami
Shell Houston Open,First Come First serve: I have: 10 Shell Houston open badges available. (Let's try to share these as best we can.) 10 One Day Passes 2 Invitations to Tonights Mardi Gras Party 4 Tickets to this Saturday's Beauty n Blues concert. This might be a good time to remind you that this week is Secretary's week (since I am holding all the goodies) Just joking Brenda. Yvette x3.5953
Entex Revised Estimates for 4/00,The attached spreadsheet has the revised estimates for Entex citygate loads for April. If you need me to get with POPs/Unify to correct or change the estimates please give me a call. Thanks Gary
(no subject),Hey Daren its me. Have you had any sleep lately???? See ya at the beach.
wellhead,Encina has some tru ups. Meter Vance New March AVG. 4353 54 53 5631 40 35 5625 20 25 6832 225 276 270 TO 280 9731 325 290 300 TO 308 9720 6750 6500 6030 TO 6895
Unify,Please provide Bob Superty with a list of pipelines whom were late or had nomiation issues as a result of this mornings Unify problems.
well head,Shoreline wants to increase the volume at meter 9830 for the 10th gas day. This is a new meter so there is not much history to it. They want to go from 535 to 750. last month it flowed in the upper 500's but it didn't come on till the 21st of the month.
Re: Meter 5192,Is this in index related price?
HL&P December,Janet. Attached is the best available for December. I have split 3rd party noms and HPL noms. I'll be working on January today and forward it to you soon.
Buyback Deals -- January 2000,Attached are the current buyback deals I'm aware of. If you have further information please let me know. Thanks Ken
Entex Adjustments for 5/00,I have reviewed the Entex actuals and adjusted Gas Control's Entex factor for the month of May. I have found that Entex estimates have been overstated by approximately 10.0 Mmcf/Day. Romeo: Will you make sure the estimates that are in POPs are corrected to reflect the new volumes. This should help reduce some of the UA4 that Daren and Pat are trying to locate. The attached file has the changes that need to be made. Please let everyone on this mailing list know once the changes have been made. If you have any questions please call me at 36449. Thanks Gary H
Reviewers,Janet Wallis Kyle Lilly Howard Camp Carlos Rodriguez Thu Nguyen Joan Quick (for CES) Bob Superty (CES) Ed Gottlob Bryan Hull
Re: 1st priority please,HPL is ok. D
June Vacation,Please submit your June Vacation to me ASAP. Thank You! Yvette x3.5953
HPL xport TA99-027 for 4/00 Prod.,Loraine sent an allocation for fuel that is not scheduled. Her schedule has fuel on days where there was no flow: Day fuel 5 40 8 15 9 14 Can you let me know if we need to book fuel on this contract and what needs to be done on days where we have no flow? We called Loraine and she told us to contact you since you are aware of this. Thanks
CES volumes on Tejas,June volumes on Tejas are attached.
CES volumes on Tejas,June volumes on Tejas are attached.
Bridge back error,Meter 980068 has a bridge back error for 9/99 production. This meter is linked to deal 76365 which started on 4/16/99 and ended on 4/30/99. Please let me know what deal should be use for this meter for 9/99. I need to have this error clear off by Thursday. Thanks.
Re: Job Posting,The position reports to me and is budgeted. D
June's update,Here is the lastest and greatest.
Bennington/Lamar Power UA4 data,Call me with any questions. Gary H
January - Meter 2186 clear lake city gate,I have flow without a nom each day at Meter 2186 1st = 1375 2nd = 28 3rd = 2532 4th = 5952 I assume that this is entex meter. Is this volume captured at Meter 2000? I will need a nom to support this flow. Please advise. Thank you.
schedule,Here is our schedule. I need the 10 bucks from those of you who haven't paid yet. Do you want to try to get together this weekend and get some practice in? Let me know of your availability. Bryan
HL&P Month to Date,Attached is the HL&P spreadsheet for January.
Devon,I understand you guys want to talk to me about Devon.....hmmmmmmmmm. How about tomorrow Thursday the 8th after 3 sometime? THANKS
New Entex deal,"Tom Engel (Sitara) has moved the big Entex ticket (#117413) for July 2000 forward to deal #292249. This should help some with amount of time it takes to update and bridge back this deal. He is adjusting the swap tickets also. You should probably double check these to make sure everything looks ok. The programmers are also trying to find ways to further decrease the time involved in updating the deal. D"
Hoop it up,I need a number where you can be reached on Friday evening. I will be getting the schedule after work on Friday and will call and let you know when and where our games will be. D
Re: Hoop it up,281.343.8233
Re: 98-6725 (Sitara deal 266149),done
Re: Review of new Enron Internet Site,Will is unable to attend Tuesday Morning and I am having trouble getting the video conference room. I will get back with you when I can reschedule.
Re: RESUME - Gloria Smith,No interest.
Re: RESUME - Liz Bellamy,I would be interested in talking to Liz. Please set up an interview for me one afternoon during the next couple of weeks. Thanks. D
RESUME - Robert Goerner,Following is the resume of Robert Goerner. He is currently at Reliant doing pipeline accounting. His salary is at $52K. he was referred by Karen Lindley.
Re: RESUME - Robert Goerner,Not interested.
RESUME - Dart Arnaez,"INTERNAL CANDIDATE response to job #104210. I have not talked to him."
Accrued 06/16,Here is a breakdown by day of all of the counterparties.
HPL Planning Meeting,Please mark your calendars. The Thursday HPL Planning Meeting scheduled for 3:00 PM has been moved to 1:00 PM on Thursday. Same location EB35c1. Thanks.
Re: HL&P,This deal relates to Geens Bayou only. D
SAP - TimeKeeping,You should have received your Logon ID and password for SAP this morning. We will hold a learning lunch early next week walking you through the new HR Online system and Timekeeping system. You will not know how to key your time until then. I will keep you posted on the details of the learning lunch. Y
TUFCO - Prebid,HPLR Est. 65000 WB Est. 40000
hl&p,Attached are the most recent numbers.
Unfinaled Sales Invoices,Here are the spreadsheets for the unfinaled invoices prior to May 2000. Please notify me of any discrepancies. We will send out unfinaled purchases next week. Thanks.
Oasis Contract Imbalance Update,....This just in.... Here are our updated imbalances per contract & total: Historical Current Mth Cumul. 201K: (12.807) (8.181) (20.988) 202K: (13.951) 7.879 (6.072) 203K: (6.152) (267) (6.419) 204K: 27.392 (6.306) 21.088 Total: (5.516) (6.875) (12.391) Due Oasis
HR Generalist for your group,Norma Villarreal is the HR Generalist for all of Brent Price's group and Hector McLoughlin is the HR Generalist for all the other groups/departments under Sally Beck. Toni Graham is the Recruiter for all of Sally Beck's group. Yvonne Laing is the Compensation Specialist for all of Sally Beck's group. Janet De La Paz is the Admin. Support Person for the HR group. I hope this helps you directs your questions or needs for services in the future.
Methanol Plant Status,It now appears the Methanol Plant will be up making product about July 28.
Name Change/Merger Listing for 7/00,This is the preliminary spreadsheet for July. There will definitely be another listing distributed no later than this Friday. For some reason there has been an unusual number of notices issued and we are working diligently to get the documents lined up. Updates to records in GCP for counterparty name changes: The legal name field will be updated Monday afternoon (7/17). The ERMS Shortnames will be changed on Tuesday afternoon (7/18).
This afternoon . . .,Please make yourself available this afternoon as Brenda will be calling on each of you individually to work on the bonus calculations. If you have any questions or concerns please call. Note: Please leave this afternoon's staff meeting on your calendars just in case. Thanx! Yvette
